objective,vx,payload_kg,seed,T_star,status,grid_argmin,y_min
cot,0.5,0,42,0.5171231358888785,fit,0.5,0.4989619779864503
cot,0.5,0,43,0.5178178872765975,fit,0.5,0.498887037500138
cot,0.5,4,42,0.5064490764252797,fit,0.5,0.5191557323716997
cot,0.5,4,43,0.5062186536696531,fit,0.5,0.5193611761055992
cot,0.5,8,42,0.5043466368640527,fit,0.5,0.5513430712293352
cot,0.5,8,43,0.5094741045937291,fit,0.55,0.5487908981005247
cot,0.5,12,42,0.5037829243075193,fit,0.55,0.5906627132089082
cot,0.5,12,43,0.5020461430473289,fit,0.55,0.5856398847719401
cot,1.0,0,42,0.35,edge,0.35,0.6258824260995566
cot,1.0,0,43,0.35,edge,0.35,0.6229334160520461
cot,1.0,4,42,0.35,edge,0.35,0.6498646761964465
cot,1.0,4,43,0.35,edge,0.35,0.6462968532172886
cot,1.0,8,42,0.35,edge,0.35,0.6572650549072638
cot,1.0,8,43,0.35,edge,0.35,0.6539699088513865
cot,1.0,12,42,0.35,edge,0.35,0.671637244505738
cot,1.0,12,43,0.35,edge,0.35,0.6683064122200532
cot_copper,0.5,0,42,0.35,edge,0.35,11.1502342769141
cot_copper,0.5,0,43,0.35,edge,0.35,11.026269458918131
cot_copper,0.5,4,42,0.35,edge,0.35,12.238918362893234
cot_copper,0.5,4,43,0.35,edge,0.35,12.103861373433638
cot_copper,0.5,8,42,0.6388883291533992,fit,0.6,13.364772503388226
cot_copper,0.5,8,43,0.6413191135764948,fit,0.6,13.363461402992195
cot_copper,0.5,12,42,0.6595350287627622,fit,0.6,15.153149503838724
cot_copper,0.5,12,43,0.6559035718067419,fit,0.6,15.153135732032592
cot_copper,1.0,0,42,0.35,edge,0.35,9.291009382887175
cot_copper,1.0,0,43,0.35,edge,0.35,9.245523582546657
cot_copper,1.0,4,42,0.35,edge,0.35,10.09984921973073
cot_copper,1.0,4,43,0.35,edge,0.35,10.038679085128166
cot_copper,1.0,8,42,0.35,edge,0.35,10.84626796304093
cot_copper,1.0,8,43,0.35,edge,0.35,10.781816282196102
cot_copper,1.0,12,42,0.35,edge,0.35,11.626411987773256
cot_copper,1.0,12,43,0.35,edge,0.35,11.561391606541456
omega_xy,0.5,0,42,0.35,edge,0.35,0.2137139439582824
omega_xy,0.5,0,43,0.35,edge,0.35,0.2143810838460922
omega_xy,0.5,4,42,0.5237641899622429,fit,0.55,0.2181286811828613
omega_xy,0.5,4,43,0.5235144395550425,fit,0.55,0.2160783857107162
omega_xy,0.5,8,42,0.5220322695642637,fit,0.55,0.2289498895406723
omega_xy,0.5,8,43,0.5219111335298021,fit,0.55,0.2262785881757736
omega_xy,0.5,12,42,0.35,edge,0.35,0.2509389221668243
omega_xy,0.5,12,43,0.35,edge,0.35,0.2518326938152313
omega_xy,1.0,0,42,0.35,edge,0.35,0.2928356826305389
omega_xy,1.0,0,43,0.35,edge,0.35,0.2925916612148285
omega_xy,1.0,4,42,0.35,edge,0.35,0.3196641504764557
omega_xy,1.0,4,43,0.35,edge,0.35,0.3184923231601715
omega_xy,1.0,8,42,0.35,edge,0.35,0.3386557996273041
omega_xy,1.0,8,43,0.35,edge,0.35,0.3377887010574341
omega_xy,1.0,12,42,0.35,edge,0.35,0.3478881418704986
omega_xy,1.0,12,43,0.35,edge,0.35,0.3471779525279999
ss_vx_var,0.5,0,42,0.35,edge,0.35,0.0002939645200967
ss_vx_var,0.5,0,43,0.35,edge,0.35,0.0002891145995818
ss_vx_var,0.5,4,42,0.393551477252383,fit,0.4,0.0003571161651052
ss_vx_var,0.5,4,43,0.39338967056357244,fit,0.4,0.0003568495158106
ss_vx_var,0.5,8,42,0.399897731300919,fit,0.4,0.0006209856364876
ss_vx_var,0.5,8,43,0.4002764420054171,fit,0.4,0.0006193428998813
ss_vx_var,0.5,12,42,0.4155817842119751,fit,0.45,0.0014479100937023
ss_vx_var,0.5,12,43,0.41599396794436916,fit,0.45,0.0014375728787854
ss_vx_var,1.0,0,42,0.35,edge,0.35,0.0003873145906254
ss_vx_var,1.0,0,43,0.35,edge,0.35,0.0003879514697473
ss_vx_var,1.0,4,42,0.35,edge,0.35,0.0007360164890997
ss_vx_var,1.0,4,43,0.35,edge,0.35,0.0007373334374278
ss_vx_var,1.0,8,42,0.3918292244844483,fit,0.4,0.0013762951130047
ss_vx_var,1.0,8,43,0.3920991362669448,fit,0.4,0.0013783691683784
ss_vx_var,1.0,12,42,0.35,edge,0.35,0.0021772747859358
ss_vx_var,1.0,12,43,0.35,edge,0.35,0.0021842923015356
