vx,payload,argmin_T,y_min,loc_depth_pct,full_depth_pct,floor_2sem_pct,depth_over_floor,Tstar,Tstar_lo,Tstar_hi,status
0.5,0,0.55,0.5094038846319678,4.089,35.883,1.533,2.67,0.5159,0.5148,0.517,fit(5pt)
0.5,4,0.5,0.5130777471781817,1.499,36.822,1.491,1.01,0.4901,0.487,0.4937,fit(5pt)
0.5,8,0.5,0.5226536723230625,2.173,40.027,1.8,1.21,0.4831,0.4813,0.4849,fit(5pt)
0.5,12,0.5,0.5382892963454908,2.74,36.041,1.116,2.46,0.4839,0.4823,0.4856,fit(5pt)
0.6,0,0.5,0.5404244663895925,1.593,46.401,1.621,0.98,,,,not-resolvable
0.6,4,0.5,0.5464528333639442,2.82,45.391,1.62,1.74,0.465,0.464,0.4659,fit(5pt)
0.6,8,0.45,0.5561482559232895,1.251,42.268,1.504,0.83,,,,not-resolvable
0.6,12,0.45,0.5745611972761788,1.105,40.482,1.774,0.62,,,,not-resolvable
0.7,0,0.4,0.5745674218162515,,50.339,1.394,,,,,argmin@edge(0.40)
0.7,4,0.4,0.5792706367977332,,50.686,1.303,,,,,argmin@edge(0.40)
0.7,8,0.4,0.588955380461931,,47.704,1.407,,,,,argmin@edge(0.40)
0.7,12,0.4,0.6048334893742247,,47.644,1.328,,,,,argmin@edge(0.40)
