vx,payload,argmin_T,y_min,loc_depth_pct,full_depth_pct,floor_2sem_pct,depth_over_floor,Tstar,Tstar_lo,Tstar_hi,status
0.5,0,0.55,3.521746506521059,3.055,12.976,0.927,3.29,0.543,0.5401,0.5461,fit(5pt)
0.5,4,0.6,3.8345942989396056,5.684,10.055,0.873,6.51,0.563,0.5589,0.5666,fit(5pt)
0.5,8,0.6,4.175317548566312,2.648,7.98,1.026,2.58,0.5868,0.5837,0.5904,fit(5pt)
0.5,12,0.6,4.537153066855426,2.962,7.65,1.071,2.77,0.5894,0.5847,0.5936,fit(5pt)
0.6,0,0.4,3.470100521450546,,18.875,0.928,,,,,argmin@edge(0.40)
0.6,4,0.55,3.7399714887464226,3.135,15.245,0.923,3.4,0.5303,0.5274,0.533,fit(5pt)
0.6,8,0.55,4.068219554193674,2.597,10.767,0.977,2.66,0.5363,0.5337,0.539,fit(5pt)
0.6,12,0.55,4.4070817899221595,4.144,8.686,1.216,3.41,0.5453,0.542,0.5489,fit(5pt)
0.7,0,0.4,3.419497295068454,,23.406,0.819,,,,,argmin@edge(0.40)
0.7,4,0.4,3.694345479243718,,19.941,0.772,,,,,argmin@edge(0.40)
0.7,8,0.4,3.99658540347564,,15.823,0.83,,,,,argmin@edge(0.40)
0.7,12,0.4,4.380048724999075,,11.866,0.74,,,,,argmin@edge(0.40)
