vx,payload,argmin_T,y_min,loc_depth_pct,full_depth_pct,floor_2sem_pct,depth_over_floor,Tstar,Tstar_lo,Tstar_hi,status
0.5,0,0.4,0.0600014422088861,,111.333,3.083,,,,,argmin@edge(0.40)
0.5,4,0.4,0.06216242583468553,,110.607,3.499,,,,,argmin@edge(0.40)
0.5,8,0.45,0.0646304581314325,2.723,116.185,3.588,0.76,,,,not-resolvable
0.5,12,0.45,0.0657379468902945,5.486,107.797,3.763,1.46,0.4511,0.4488,0.4532,fit(4pt)
0.6,0,0.4,0.07122296001762146,,90.819,2.205,,,,,argmin@edge(0.40)
0.6,4,0.45,0.07276930287480352,2.295,93.0,2.793,0.82,,,,not-resolvable
0.6,8,0.45,0.07399015314877029,3.896,94.151,3.068,1.27,0.452,0.45,0.4541,fit(4pt)
0.6,12,0.45,0.07701939530670637,3.889,91.586,3.566,1.09,0.4541,0.4507,0.4572,fit(4pt)
0.7,0,0.4,0.08161898329854007,,80.035,2.693,,,,,argmin@edge(0.40)
0.7,4,0.45,0.08361757732927796,1.219,78.625,2.426,0.5,,,,not-resolvable
0.7,8,0.45,0.08471882157027719,3.3,78.876,2.791,1.18,0.4518,0.4502,0.4535,fit(4pt)
0.7,12,0.45,0.0863908967003226,6.048,81.729,2.462,2.46,0.4556,0.4537,0.4575,fit(4pt)
