vx,payload,argmin_T,y_min,loc_depth_pct,full_depth_pct,floor_2sem_pct,depth_over_floor,Tstar,Tstar_lo,Tstar_hi,status
0.5,0,0.4,0.0004251196733093375,,2299.956,196.853,,,,,argmin@edge(0.40)
0.5,4,0.4,0.00054012419059285,,1893.793,153.151,,,,,argmin@edge(0.40)
0.5,8,0.4,0.0007017143434495125,,1538.649,119.961,,,,,argmin@edge(0.40)
0.5,12,0.4,0.001105102404835575,,967.54,56.374,,,,,argmin@edge(0.40)
0.6,0,0.4,0.0004452063731150125,,3436.964,257.701,,,,,argmin@edge(0.40)
0.6,4,0.4,0.0005959578047622625,,2342.398,165.667,,,,,argmin@edge(0.40)
0.6,8,0.4,0.000824597213067975,,1728.051,119.543,,,,,argmin@edge(0.40)
0.6,12,0.4,0.0011656399874481749,,1259.918,95.435,,,,,argmin@edge(0.40)
0.7,0,0.4,0.00045478551328408746,,5189.361,393.918,,,,,argmin@edge(0.40)
0.7,4,0.4,0.0006235765613382125,,3448.086,204.477,,,,,argmin@edge(0.40)
0.7,8,0.4,0.0009350009422632376,,2213.194,158.156,,,,,argmin@edge(0.40)
0.7,12,0.4,0.001279183517908625,,1870.886,103.219,,,,,argmin@edge(0.40)
